Material,Batch,End Date,Period,Year,U.O.M.,Theoretical Yield,G.R.Qty,Total Input in ML,QC Qty (ML),Theoretical Yield(ML),G.R.Qty(ML),Waste in ML,% Waste loss,Waste Total Cost
JM1441K,6885243,05/01/2024,1,2024,PLT,1865.131,1712,337163.49,1440,335723.58,308160,27563.58,8.2,429.99
JM1441K,6885253,05/01/2024,1,2024,PLT,1865.131,1695,337163.49,1440,335723.58,305100,30623.58,9.1,477.73
GU2783J,6885263,05/01/2024,1,2024,PLT,1080.187,998,196413.6,1980,194433.66,179640,14793.66,7.6,218.95
ON0348A,6885273,05/01/2024,1,2024,PLT,969.895,928,175841.16,1260,174581.1,167040,7541.1,4.3,134.23
CT1716F,6885283,05/01/2024,1,2024,PLT,908.957,830,163738.2,126,163612.26,149400,14212.26,8.7,216.03
XN9390W,6885293,05/01/2024,1,2024,PLT,303.136,264,54654.5,90,54564.48,47520,7044.48,12.9,96.51
XN9390W,6885303,05/01/2024,1,2024,PLT,303.136,251,54654.5,90,54564.48,45180,9384.48,17.2,128.57
VF5276R,6885313,05/01/2024,1,2024,PLT,911.977,857,164281.8,126,164155.86,154260,9895.86,6,157.34
YW6837P,6885323,05/01/2024,1,2024,PLT,419.823,201,109336,182,109153.98,52260,56893.98,52.1,756.69
YW6837P,6885333,05/01/2024,1,2024,PLT,419.823,359,109336,182,109153.98,93340,15813.98,14.5,210.33
YW6837P,6885343,05/01/2024,1,2024,PLT,419.823,335,109336,182,109153.98,87100,22053.98,20.2,293.32
YW6837P,6885353,05/01/2024,1,2024,PLT,419.823,363,109336,182,109153.98,94380,14773.98,13.5,196.49
EG2772G,6885363,05/01/2024,1,2024,PLT,944.314,779,170102.46,126,169976.52,140220,29756.52,17.5,455.27
GF2716Q,6885373,05/01/2024,1,2024,PLT,1719.317,1643,310917,1440,309477.06,295740,13737.06,4.4,164.84
JQ7006J,6885383,05/01/2024,1,2024,PLT,1588.954,1523,415208,2080,413128.04,395980,17148.04,4.2,164.62
JQ7006J,6885393,05/01/2024,1,2024,PLT,1588.954,1528,415208,2080,413128.04,397280,15848.04,3.8,152.14
GE2425T,6885403,05/01/2024,1,2024,PLT,139.703,100,26638.5,95,26543.57,19000,7543.57,28.4,86.75
GE2425T,6885413,05/01/2024,1,2024,PLT,139.703,133,26638.5,95,26543.57,25270,1273.57,4.8,14.65
NI2398W,6885423,05/01/2024,1,2024,PLT,147.518,131,26643.25,90,26553.24,23580,2973.24,11.2,44.9
NI2398W,6885433,05/01/2024,1,2024,PLT,147.518,131,26643.25,90,26553.24,23580,2973.24,11.2,44.9
AY2463C,6885443,05/01/2024,1,2024,PLT,138.43,121,25980,93.5,25886.41,22627,3259.41,12.6,34.55
WK5752N,6885453,05/01/2024,1,2024,PLT,137.9,134,26296,95,26201,25460,741,2.8,8.67
IG7072I,6885463,05/01/2024,1,2024,PLT,1236.839,830,235151.4,152,234999.41,157700,77299.41,32.9,1298.63
KA5110O,6885473,05/01/2024,1,2024,PLT,172.616,159,32892,95,32797.04,30210,2587.04,7.9,44.76
JU8568U,6885483,05/01/2024,1,2024,PLT,331.461,306,63110.55,133,62977.59,58140,4837.59,7.7,57.57
KP0430R,6885493,05/01/2024,1,2024,PLT,113.609,87,26314,184,26130.07,20010,6120.07,23.4,118.73
RL3369N,6885503,05/01/2024,1,2024,PLT,349.739,225,63079.02,126,62953.02,40500,22453.02,35.7,469.27
QQ9907S,6885513,05/01/2024,1,2024,PLT,67.434,32,17662.937,130,17532.84,8320,9212.84,52.5,133.59
IM3636Z,6885523,05/01/2024,1,2024,PLT,54.695,43,10449,57,10392.05,8170,2222.05,21.4,26.44
BB1653U,6885533,05/01/2024,1,2024,PLT,139.709,124,26639.75,95,26544.71,23560,2984.71,11.2,36.71
RD5975P,6885543,05/01/2024,1,2024,PLT,332.445,328,59966.11,126,59840.1,59040,800.1,1.3,23.12
RD5975P,6885553,05/01/2024,1,2024,PLT,332.445,244,59966.11,126,59840.1,43920,15920.1,26.6,460.09
FE6647F,6885563,05/01/2024,1,2024,PLT,45.222,27,10470,69,10401.06,6210,4191.06,40.3,40.23
